2975,1361,1856,1769
2976,1360,1854,1771
2976,1359,1854,1771
2976,1358,1857,1770
2976,1361,1855,1768
2977,1358,1855,1770
2976,1361,1852,1771
2976,1362,1856,1767
2982,1365,1843,1770
2977,1361,1854,1768
2975,1361,1854,1770
2977,1359,1853,1771
2976,1361,1853,1770
2976,1359,1855,1770
2976,1359,1855,1769
2976,1362,1855,1768
2974,1359,1858,1770
2978,1359,1855,1768
2978,1358,1854,1770
2977,1360,1855,1768
2977,1359,1856,1768
2977,1359,1854,1770
2976,1358,1856,1770
2976,1360,1852,1772
2977,1358,1856,1769
2976,1359,1856,1769
2976,1360,1853,1771
2977,1358,1854,1769
2975,1360,1857,1768
2976,1361,1855,1767
2975,1359,1855,1770
2976,1360,1855,1770
2975,1360,1855,1771
2976,1360,1856,1768
2975,1360,1855,1770
2978,1359,1854,1769
2976,1362,1854,1768
2976,1360,1855,1768
2976,1360,1854,1770
2977,1360,1854,1769
2977,1360,1853,1770
2977,1359,1855,1769
2976,1362,1853,1769
2976,1363,1854,1767
2975,1359,1856,1770
2978,1358,1854,1769
2977,1359,1855,1768
2977,1359,1853,1770
2976,1361,1854,1768
2976,1359,1857,1768
2976,1361,1854,1769
2977,1358,1855,1769
2976,1361,1853,1769
2977,1359,1854,1768
2975,1359,1855,1769
2977,1358,1854,1768
2977,1358,1853,1769
2977,1359,1854,1769
2977,1358,1854,1770
2976,1359,1856,1768
2976,1359,1855,1768
2976,1359,1854,1770
2977,1358,1855,1768
2975,1360,1856,1769
2976,1362,1855,1767
2976,1359,1853,1770
2975,1360,1856,1768
2976,1360,1855,1769
2976,1359,1853,1768
2976,1359,1853,1769
2976,1359,1854,1767
2975,1361,1856,1768
2978,1358,1855,1769
2976,1362,1854,1767
2975,1360,1854,1770
2976,1359,1854,1768
2976,1359,1852,1770
2975,1360,1855,1769
2978,1358,1855,1768
2976,1360,1854,1767
2976,1358,1855,1769
2977,1360,1854,1768
2976,1358,1855,1768
2975,1359,1857,1769
2976,1360,1854,1768
2975,1361,1855,1769
2976,1358,1856,1769
2976,1357,1853,1767
2976,1358,1853,1768
2976,1358,1854,1768
2976,1360,1854,1769
2975,1359,1857,1768
2976,1358,1854,1769
2976,1359,1854,1769
2975,1359,1856,1769
2976,1360,1853,1768
2976,1360,1852,1771
2976,1360,1853,1769
2976,1361,1854,1767
2976,1360,1853,1770
